v_a,v_b,v_c,i_a,i_b,i_c,p_a,p_b,p_c,q_a,q_b,q_c,freq
232.48357076505616,243.41413895235706,239.73589492561968,48.61735698828815,49.05271341865181,47.71107882095727,8.533807595957422,9.015048577001552,8.63597816150514,7.411206787076302,7.829141734030469,7.499937073096035,50.06476885381007
227.37415096410925,243.59648270685136,218.869102166276,52.41962271566034,45.83731625367578,49.212833364665585,9.653192494362692,9.043284223184891,8.723661618214194,6.991085052304493,6.549374126059309,6.317895388087993,49.80867197553422
237.32824384460778,198.50233105086716,223.28207045001517,47.74223699513465,48.46628113585537,44.186245736951896,8.263411431759222,7.0163701947377906,7.19528732202541,7.752296645059402,6.582388347760228,6.750238957289929,50.00675282046879
234.7371991052332,231.74142343502683,233.44911960021386,43.98293387770603,43.9761877721059,44.45808841883113,9.279151119792004,9.159323166612069,9.327927448233627,4.5267233091165835,4.468266669954153,4.5505182597580145,50.18522781845089
231.04431797502377,239.8245048676898,270.3716476164326,30.403298761202244,32.523182264063784,20.61936239575687,5.488984747999005,6.094844277086184,4.356246069823719,4.383466564129392,4.867301938108339,3.4788690202051566,49.86718139511016
222.08352893231557,207.47341569229948,229.60629450020113,45.393612290402125,45.77126941269138,47.887604072618,9.261595872751526,8.724291080093106,10.101401458215609,3.981570445602515,3.7505825130558765,4.342603808003191,50.10571222262189
225.8039123838868,240.6529863469799,219.55734117515436,46.907876241487855,46.319764162674545,50.811534324966345,9.44028655762171,9.934946646390527,9.943017788539308,4.803235566777841,5.05491955087487,5.059026163189752,50.03312634314036
225.50896030272162,230.8615589493911,233.73584556662132,49.27989878419666,50.231385179962345,49.68434410242278,9.425414957238171,9.835436704828808,9.849444808674981,5.887412624617158,6.1435251909163116,6.152275096125269,50.100353289789204
216.9012744795513,212.57751602533367,217.17602639429487,58.21902504375224,61.059333469002475,56.53905495777358,11.701726744224384,12.02796920050625,11.378456352898649,4.746623788797091,4.878958976393863,4.6154941732095605,50.00870470682382
222.52473064592832,243.96971612905506,233.52061436750202,41.91506397106812,52.68269809312221,44.83908298022267,7.051046247807779,9.716482561965254,7.91565928546416,6.105592195261396,8.413627993742494,6.854271813733239,49.94982429564155
230.4853877467402,227.04984441313442,227.4242588906974,59.68644990532889,62.58973670274535,53.634370065540395,10.546449637655808,10.894604546890438,9.351194925121014,8.833088199536098,9.124682349797883,7.832012893678219,49.92979469061226
231.72758971944384,241.0503135170655,190.82358858139446,46.572854834732304,27.504251085957737,59.81091802047859,10.700855244805282,6.573783685728497,11.316715858498124,1.4012887673191805,0.8608442060805622,1.4819363922481334,49.91977227307784
220.4061439235048,226.2391568104527,219.79275824972459,49.73486124550783,49.980803089941844,49.43900812210974,9.282903399839583,9.575693298580921,9.202002611162369,5.830118020138483,6.014004417663195,5.7793083622550885,50.0060230209941
227.89250889830058,219.12746652597676,243.25326763222373,61.42822814515021,64.71716910809057,64.73691687012204,12.049421369990418,12.206312469352213,13.5543547727321,7.126315345279374,7.219104485486909,8.016368873350995,50.07519330326868
225.04731837434656,209.3550090012656,213.6542039565621,44.33702270397228,44.3989815318311,48.73500308171361,7.506494350590657,6.992833015554169,7.833380706237677,6.573552389654226,6.12373126960817,6.859811791706497,50.00996513650876
223.88563231662346,207.15548263693248,208.51363917401602,40.80575765766197,32.51089769803261,46.01511731843171,8.20392519831773,6.04782777774717,8.616066130603174,4.019809769708414,2.9633518832530497,4.221753120732321,50.154993440501755
231.13729967302064,231.92803614298248,236.23685982234142,63.07142754282428,61.730709097478524,64.28120194168619,14.128176537954806,13.875157873092588,14.716856891883939,3.5940729856492992,3.5297074572455904,3.743827637394715,49.839251676543874
